file_id,file_number,file_title,file_type,section,received_date,due_date,completed_date,status,priority,assigned_to,remarks
F001,/DFO/2026/001,Transit Permit Review 1/1,Proposal,Wildlife,2025-06-02,2025-06-09,,in_progress,medium,ramesh,Pending action
F002,/DFO/2026/002,Rescue Memo 1/2,Inspection Report,Wildlife,2025-06-05,2025-06-13,2025-06-11,completed,high,ramesh,Closed
F003,/DFO/2026/003,Patrolling Report 1/3,Complaint,Wildlife,2025-06-08,2025-06-17,2025-06-15,completed,urgent,ramesh,Closed
F004,/DFO/2026/004,Census Circular 1/4,Notice,Wildlife,2025-06-11,2025-06-21,2025-06-16,completed,low,ramesh,Closed
F005,/DFO/2026/005,Drive Proposal 1/1,Budget,Plantation,2025-06-03,2025-06-11,,pending,high,sita,Pending action
F006,/DFO/2026/006,Survival Report 1/2,Circular,Plantation,2025-06-06,2025-06-15,2025-06-12,completed,urgent,sita,Closed
F007,/DFO/2026/007,Nursery Note 1/3,Correspondence,Plantation,2025-06-09,2025-06-19,2025-06-21,completed,low,sita,Closed
F008,/DFO/2026/008,Attendance File 1/1,Permit,Administration,2025-06-04,2025-06-13,,pending,high,ajay,Pending action
F009,/DFO/2026/009,Movement Note 1/2,Proposal,Administration,2025-06-07,2025-06-17,,escalated,urgent,ajay,Pending action
F010,/DFO/2026/010,Procurement File 1/3,Inspection Report,Administration,2025-06-10,2025-06-21,,pending,low,ajay,Pending action
F011,/DFO/2026/011,Budget Approval 1/1,Complaint,Finance,2025-06-05,2025-06-15,,pending,high,pooja,Pending action
F012,/DFO/2026/012,Arrear Clarification 1/2,Notice,Finance,2025-06-08,2025-06-19,2025-06-20,completed,urgent,pooja,Closed
F013,/DFO/2026/013,Account Reconciliation 1/3,Budget,Finance,2025-06-11,2025-06-23,2025-06-23,completed,low,pooja,Closed
F014,/DFO/2026/014,Plot Access Request 1/1,Circular,Research,2025-06-06,2025-06-17,2025-06-11,completed,high,vikram,Closed
F015,/DFO/2026/015,Grant Statement 1/2,Correspondence,Research,2025-06-09,2025-06-21,2025-06-15,completed,urgent,vikram,Closed
F016,/DFO/2026/016,Collaboration Approval 1/3,Permit,Research,2025-06-12,2025-06-19,2025-06-19,completed,low,vikram,Closed
F017,/DFO/2026/017,Seizure Case 1/1,Proposal,Enforcement,2025-06-07,2025-06-19,,pending,high,meera,Pending action
F018,/DFO/2026/018,Encroachment Dossier 1/2,Inspection Report,Enforcement,2025-06-10,2025-06-17,2025-06-16,completed,urgent,meera,Closed
F019,/DFO/2026/019,Field Complaint 1/3,Complaint,Enforcement,2025-06-13,2025-06-21,2025-06-20,completed,low,meera,Closed
F020,/DFO/2026/020,Rescue Memo 2/1,Notice,Wildlife,2025-07-02,2025-07-09,,in_progress,low,ramesh,Pending action
F021,/DFO/2026/021,Patrolling Report 2/2,Budget,Wildlife,2025-07-05,2025-07-13,2025-07-12,completed,medium,ramesh,Closed
F022,/DFO/2026/022,Census Circular 2/3,Circular,Wildlife,2025-07-08,2025-07-17,2025-07-13,completed,high,ramesh,Closed
F023,/DFO/2026/023,Camera Trap Proposal 2/4,Correspondence,Wildlife,2025-07-11,2025-07-21,2025-07-17,completed,urgent,ramesh,Closed
F024,/DFO/2026/024,Survival Report 2/1,Permit,Plantation,2025-07-03,2025-07-11,,pending,medium,sita,Pending action
F025,/DFO/2026/025,Nursery Note 2/2,Proposal,Plantation,2025-07-06,2025-07-15,2025-07-13,completed,high,sita,Closed
F026,/DFO/2026/026,Seedling Approval 2/3,Inspection Report,Plantation,2025-07-09,2025-07-19,2025-07-21,completed,urgent,sita,Closed
F027,/DFO/2026/027,Movement Note 2/1,Complaint,Administration,2025-07-04,2025-07-13,,pending,medium,ajay,Pending action
F028,/DFO/2026/028,Procurement File 2/2,Notice,Administration,2025-07-07,2025-07-17,,escalated,high,ajay,Pending action
F029,/DFO/2026/029,Service Book Update 2/3,Budget,Administration,2025-07-10,2025-07-21,,pending,urgent,ajay,Pending action
F030,/DFO/2026/030,Arrear Clarification 2/1,Circular,Finance,2025-07-05,2025-07-15,,pending,medium,pooja,Pending action
F031,/DFO/2026/031,Account Reconciliation 2/2,Correspondence,Finance,2025-07-08,2025-07-19,2025-07-20,completed,high,pooja,Closed
F032,/DFO/2026/032,Advance Settlement 2/3,Permit,Finance,2025-07-11,2025-07-23,2025-07-23,completed,urgent,pooja,Closed
F033,/DFO/2026/033,Grant Statement 2/1,Proposal,Research,2025-07-06,2025-07-17,2025-07-12,completed,medium,vikram,Closed
F034,/DFO/2026/034,Collaboration Approval 2/2,Inspection Report,Research,2025-07-09,2025-07-21,2025-07-16,completed,high,vikram,Closed
F035,/DFO/2026/035,Sampling Note 2/3,Complaint,Research,2025-07-12,2025-07-19,2025-07-17,completed,urgent,vikram,Closed
F036,/DFO/2026/036,Encroachment Dossier 2/1,Notice,Enforcement,2025-07-07,2025-07-19,,pending,medium,meera,Pending action
